# file...... output/load_HVAC.csv
# date...... Wed Oct 16 08:42:43 2019
# user...... alyona_slac
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(hvac_load[kW])
2018-01-20 00:00:00 PST,+0
2018-01-20 11:37:00 PST,+1.99612
2018-01-20 11:39:00 PST,+1.99717
2018-01-20 11:40:00 PST,+0
2018-01-20 11:42:00 PST,+1.99862
2018-01-20 11:44:00 PST,+1.99942
2018-01-20 11:45:00 PST,+0
2018-01-20 11:50:00 PST,+2.00134
2018-01-20 11:52:00 PST,+2.00175
2018-01-20 11:53:00 PST,+0
2018-01-20 12:03:00 PST,+2.00037
2018-01-20 12:05:00 PST,+4.35518
2018-01-20 12:06:00 PST,+2.35538
2018-01-20 12:07:00 PST,+4.70907
2018-01-20 12:08:00 PST,+2.35362
2018-01-20 12:09:00 PST,+2.35278
2018-01-20 12:10:00 PST,+0
2018-01-20 12:11:00 PST,+1.99453
2018-01-20 12:12:00 PST,+1.99377
2018-01-20 12:13:00 PST,+1.99303
2018-01-20 12:14:00 PST,+0
2018-01-20 12:18:00 PST,+2.34491
2018-01-20 12:20:00 PST,+2.34311
2018-01-20 12:21:00 PST,+1.98716
2018-01-20 12:23:00 PST,+1.9857
2018-01-20 12:24:00 PST,+0
2018-01-20 12:25:00 PST,+2.33874
2018-01-20 12:26:00 PST,+2.33782
2018-01-20 12:27:00 PST,+2.33694
2018-01-20 12:28:00 PST,+0
2018-01-20 12:35:00 PST,+2.3299
2018-01-20 12:36:00 PST,+4.3051
2018-01-20 12:37:00 PST,+4.30341
2018-01-20 12:38:00 PST,+1.97462
2018-01-20 12:39:00 PST,+0
2018-01-20 12:45:00 PST,+4.64207
2018-01-20 12:46:00 PST,+6.60883
2018-01-20 12:47:00 PST,+6.60622
2018-01-20 12:48:00 PST,+8.92196
2018-01-20 12:49:00 PST,+2.31733
2018-01-20 12:50:00 PST,+2.31655
2018-01-20 12:51:00 PST,+2.31566
2018-01-20 12:54:00 PST,+0
2018-01-20 12:58:00 PST,+1.95986
2018-01-20 13:00:00 PST,+1.95834
2018-01-20 13:01:00 PST,+0
2018-01-20 13:06:00 PST,+2.2999
2018-01-20 13:08:00 PST,+2.29739
2018-01-20 13:09:00 PST,+0
2018-01-20 13:18:00 PST,+4.22612
2018-01-20 13:20:00 PST,+4.22209
2018-01-20 13:21:00 PST,+0
2018-01-20 13:32:00 PST,+1.92882
2018-01-20 13:34:00 PST,+1.92736
2018-01-20 13:35:00 PST,+2.26963
2018-01-20 13:37:00 PST,+2.26799
2018-01-20 13:38:00 PST,+0
2018-01-20 13:50:00 PST,+4.1766
2018-01-20 13:52:00 PST,+4.17431
2018-01-20 13:53:00 PST,+0
2018-01-20 13:57:00 PST,+2.25501
2018-01-20 13:59:00 PST,+2.25401
2018-01-20 14:00:00 PST,+0
2018-01-20 14:17:00 PST,+1.90867
2018-01-20 14:19:00 PST,+1.90834
2018-01-20 14:20:00 PST,+0
2018-01-20 14:49:00 PST,+2.24949
2018-01-20 14:50:00 PST,+4.15985
2018-01-20 14:51:00 PST,+4.16037
2018-01-20 14:52:00 PST,+1.91061
2018-01-20 14:53:00 PST,+0
2018-01-20 15:00:00 PST,+4.50717
2018-01-20 15:02:00 PST,+4.51419
2018-01-20 15:04:00 PST,+0
2018-01-20 15:12:00 PST,+2.27319
2018-01-20 15:14:00 PST,+4.20794
2018-01-20 15:15:00 PST,+1.93307
2018-01-20 15:16:00 PST,+1.93422
2018-01-20 15:17:00 PST,+0
2018-01-20 15:21:00 PST,+2.28496
2018-01-20 15:23:00 PST,+4.57441
2018-01-20 15:24:00 PST,+4.23045
2018-01-20 15:25:00 PST,+4.23241
2018-01-20 15:26:00 PST,+4.23431
2018-01-20 15:27:00 PST,+2.29137
2018-01-20 15:28:00 PST,+2.29237
2018-01-20 15:29:00 PST,+0
2018-01-20 15:34:00 PST,+1.94998
2018-01-20 15:36:00 PST,+1.9512
2018-01-20 15:37:00 PST,+0
2018-01-20 15:40:00 PST,+2.30173
2018-01-20 15:42:00 PST,+2.30283
2018-01-20 15:43:00 PST,+0
2018-01-20 15:44:00 PST,+1.95521
2018-01-20 15:45:00 PST,+1.95556
2018-01-20 15:46:00 PST,+1.95592
2018-01-20 15:47:00 PST,+2.30514
2018-01-20 15:49:00 PST,+2.30585
2018-01-20 15:50:00 PST,+0
2018-01-20 15:52:00 PST,+1.95759
2018-01-20 15:53:00 PST,+6.5716
2018-01-20 15:54:00 PST,+8.87898
2018-01-20 15:55:00 PST,+6.92151
2018-01-20 15:56:00 PST,+9.22935
2018-01-20 15:57:00 PST,+2.3074
2018-01-20 15:58:00 PST,+2.30759
2018-01-20 15:59:00 PST,+2.30764
2018-01-20 16:00:00 PST,+2.30765
2018-01-20 16:01:00 PST,+2.30632
2018-01-20 16:02:00 PST,+1.95614
2018-01-20 16:04:00 PST,+1.95398
2018-01-20 16:05:00 PST,+0
2018-01-20 16:16:00 PST,+1.94205
2018-01-20 16:18:00 PST,+1.9402
2018-01-20 16:19:00 PST,+0
2018-01-20 16:42:00 PST,+4.18638
2018-01-20 16:44:00 PST,+4.18365
2018-01-20 16:45:00 PST,+0
